satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,id_employee,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion
3,3,1,3,3,241,3,Oui,18%,56,F,4257,Divorcé(e),Consulting,Assistant de Direction,4,2,0,1,3,8,3,Infra & Cloud,Occasionnel,2
3,3,4,1,4,242,3,Non,14%,33,M,2500,Célibataire,Consulting,Assistant de Direction,0,3,0,0,2,2,3,Infra & Cloud,Occasionnel,0
2,2,4,3,2,243,4,Non,22%,19,M,1102,Célibataire,Consulting,Consultant,1,1,1,0,3,2,3,Infra & Cloud,Occasionnel,1
2,3,1,3,3,244,4,Non,25%,46,F,10453,Divorcé(e),Commercial,Cadre Commercial,1,24,0,3,2,1,2,Marketing,Occasionnel,15
3,3,4,3,3,245,3,Non,12%,38,F,2288,Célibataire,Consulting,Consultant,1,2,0,0,3,9,2,Infra & Cloud,Occasionnel,2
3,3,4,3,3,246,4,Oui,23%,31,F,3929,Marié(e),Consulting,Assistant de Direction,8,4,0,1,0,12,1,Transformation Digitale,Occasionnel,0
4,3,2,4,3,247,3,Non,15%,34,F,2311,Célibataire,Consulting,Assistant de Direction,2,3,0,0,3,27,2,Transformation Digitale,Occasionnel,1
2,3,2,4,2,248,4,Oui,22%,41,F,3140,Célibataire,Commercial,Représentant Commercial,1,4,1,0,5,20,2,Marketing,Occasionnel,0
3,2,3,4,2,249,3,Non,15%,50,M,3690,Marié(e),Consulting,Consultant,2,3,0,1,2,1,3,Transformation Digitale,Occasionnel,0
4,4,1,3,3,250,3,Non,11%,53,F,4450,Divorcé(e),Consulting,Tech Lead,1,4,0,2,3,13,2,Transformation Digitale,Occasionnel,1
4,3,2,4,3,252,3,Non,13%,33,F,2756,Marié(e),Consulting,Assistant de Direction,1,8,0,1,5,14,3,Transformation Digitale,Occasionnel,1
4,3,3,2,3,253,3,Non,14%,40,F,19033,Marié(e),Consulting,Senior Manager,1,20,0,1,2,4,1,Transformation Digitale,Occasionnel,9
3,4,2,4,3,254,3,Non,11%,55,M,18722,Célibataire,Consulting,Directeur Technique,8,24,0,0,3,14,4,Transformation Digitale,Occasionnel,2
4,2,3,3,2,256,3,Non,17%,34,M,9547,Marié(e),Consulting,Tech Lead,1,10,0,0,2,2,1,Infra & Cloud,Frequent,1
4,3,2,3,3,258,3,Non,18%,51,F,13734,Célibataire,Consulting,Manager,3,7,0,0,6,3,3,Transformation Digitale,Occasionnel,1
3,2,3,1,3,259,3,Non,14%,52,M,19999,Marié(e),Consulting,Senior Manager,0,33,0,1,5,1,4,Infra & Cloud,Occasionnel,11
4,3,2,4,2,260,3,Non,16%,27,F,2279,Célibataire,Consulting,Assistant de Direction,1,7,0,0,2,9,3,Transformation Digitale,Occasionnel,0
2,2,3,1,3,261,3,Oui,13%,35,M,5916,Marié(e),Consulting,Tech Lead,3,1,1,0,1,23,2,Infra & Cloud,Occasionnel,0
4,4,4,4,4,262,3,Non,14%,43,M,2089,Divorcé(e),Consulting,Assistant de Direction,4,5,0,3,3,7,3,Transformation Digitale,Aucun,2
1,2,4,4,3,264,4,Non,23%,45,M,16792,Marié(e),Consulting,Senior Manager,9,20,0,1,1,2,2,Transformation Digitale,Aucun,11
2,4,1,1,2,267,3,Oui,12%,37,M,3564,Marié(e),Consulting,Assistant de Direction,1,8,0,1,3,21,3,Infra & Cloud,Occasionnel,1
2,3,2,4,3,269,3,Non,11%,35,F,4425,Célibataire,Consulting,Consultant,5,6,0,0,5,2,3,Transformation Digitale,Frequent,1
3,3,3,2,3,270,3,Non,16%,42,F,5265,Divorcé(e),Consulting,Tech Lead,2,5,0,1,5,21,2,Transformation Digitale,Aucun,0
4,3,3,2,3,271,3,Non,14%,38,M,6553,Marié(e),Consulting,Tech Lead,9,1,0,0,3,2,4,Infra & Cloud,Occasionnel,0
4,3,4,1,1,273,3,Non,18%,38,M,6261,Marié(e),Consulting,Tech Lead,3,7,0,1,3,29,3,Entrepreunariat,Occasionnel,1
3,2,1,3,3,274,3,Non,19%,27,M,4298,Marié(e),Consulting,Tech Lead,5,2,0,1,1,1,1,Entrepreunariat,Frequent,2
4,3,4,1,3,275,3,Oui,15%,49,M,6804,Divorcé(e),Consulting,Tech Lead,1,7,0,2,0,18,4,Infra & Cloud,Aucun,1
4,3,3,4,4,277,3,Oui,17%,34,M,3815,Divorcé(e),Consulting,Assistant de Direction,1,5,0,1,4,10,4,Transformation Digitale,Frequent,2
3,3,4,3,4,281,3,Oui,15%,40,M,2741,Marié(e),Consulting,Consultant,8,7,0,1,2,19,2,Transformation Digitale,Occasionnel,3
2,3,1,2,3,282,3,Oui,19%,38,M,6673,Marié(e),Consulting,Manager,7,1,1,0,2,29,1,Transformation Digitale,Occasionnel,0
2,3,4,4,2,283,4,Non,22%,29,F,7639,Marié(e),Commercial,Cadre Commercial,1,10,1,3,3,27,3,Marketing,Occasionnel,1
4,4,2,1,2,284,3,Oui,16%,22,M,2328,Divorcé(e),Consulting,Assistant de Direction,1,4,0,1,2,5,3,Infra & Cloud,Occasionnel,2
2,3,4,1,3,286,3,Non,13%,36,F,2153,Célibataire,Consulting,Consultant,1,8,0,0,2,18,1,Transformation Digitale,Frequent,1
4,2,4,4,1,287,3,Non,14%,40,M,4876,Marié(e),Consulting,Manager,9,3,0,1,5,9,5,Infra & Cloud,Aucun,0
4,3,1,3,3,288,3,Non,16%,46,M,9396,Divorcé(e),Consulting,Manager,7,4,0,1,3,1,4,Transformation Digitale,Occasionnel,0
4,1,4,3,2,291,3,Non,11%,32,M,10400,Marié(e),Commercial,Cadre Commercial,1,14,1,0,2,4,4,Transformation Digitale,Occasionnel,9
3,2,3,3,3,292,4,Non,22%,30,M,8474,Célibataire,Consulting,Tech Lead,1,11,0,0,2,1,1,Infra & Cloud,Aucun,5
4,3,3,4,3,293,3,Non,14%,27,F,9981,Célibataire,Commercial,Cadre Commercial,1,7,0,0,2,20,3,Infra & Cloud,Frequent,0
2,2,2,4,1,296,3,Non,16%,51,M,12490,Marié(e),Consulting,Directeur Technique,5,10,0,2,5,8,4,Infra & Cloud,Occasionnel,4
4,3,1,3,3,297,3,Oui,11%,30,F,2657,Célibataire,Consulting,Assistant de Direction,5,5,1,0,5,3,3,Entrepreunariat,Occasionnel,0
4,3,4,3,3,298,3,Oui,18%,41,F,13591,Célibataire,Commercial,Senior Manager,3,1,0,0,3,6,3,Infra & Cloud,Occasionnel,0
3,2,1,3,2,299,3,Non,15%,30,F,6696,Célibataire,Commercial,Cadre Commercial,5,6,1,0,5,26,4,Marketing,Frequent,0
3,3,3,4,2,300,3,Non,14%,29,M,2058,Célibataire,Consulting,Assistant de Direction,0,6,1,0,1,1,3,Entrepreunariat,Occasionnel,1
4,2,4,4,3,302,3,Non,12%,45,F,8865,Célibataire,Commercial,Cadre Commercial,6,19,0,0,2,6,3,Transformation Digitale,Aucun,12
4,3,1,4,3,303,3,Non,14%,54,F,5940,Marié(e),Commercial,Cadre Commercial,2,6,0,1,4,3,3,Marketing,Occasionnel,0
4,3,2,4,4,304,3,Non,16%,36,M,5914,Célibataire,Consulting,Consultant,8,13,0,0,3,5,2,Infra & Cloud,Occasionnel,3
3,2,2,4,3,305,4,Non,21%,33,F,2622,Marié(e),Consulting,Assistant de Direction,6,3,0,0,3,4,4,Transformation Digitale,Occasionnel,1
2,3,4,3,3,306,3,Oui,14%,37,M,12185,Divorcé(e),Consulting,Directeur Technique,1,10,0,3,1,11,3,Autre,Frequent,0
1,3,3,3,2,307,3,Non,12%,38,M,10609,Divorcé(e),Commercial,Cadre Commercial,0,16,0,2,6,3,3,Infra & Cloud,Occasionnel,5
3,1,3,4,3,308,3,Non,12%,31,M,4345,Marié(e),Consulting,Tech Lead,0,5,0,1,2,1,4,Transformation Digitale,Aucun,1
3,2,4,1,3,309,3,Non,17%,59,M,2177,Marié(e),Consulting,Assistant de Direction,3,1,0,1,6,3,3,Infra & Cloud,Occasionnel,0
1,3,4,3,3,311,3,Non,17%,37,M,2793,Divorcé(e),Commercial,Représentant Commercial,4,9,0,1,2,4,4,Marketing,Frequent,5
2,3,4,4,3,312,3,Non,14%,29,F,7918,Marié(e),Commercial,Cadre Commercial,1,11,0,1,5,1,1,Transformation Digitale,Frequent,4
3,3,3,1,4,314,3,Non,14%,35,F,8789,Célibataire,Commercial,Cadre Commercial,1,10,0,0,3,1,3,Marketing,Frequent,0
3,2,4,3,2,315,3,Oui,13%,29,M,2389,Célibataire,Consulting,Assistant de Direction,1,4,1,0,3,18,1,Transformation Digitale,Occasionnel,0
3,2,4,2,2,316,3,Non,15%,52,F,3212,Célibataire,Consulting,Consultant,7,2,0,0,3,2,3,Infra & Cloud,Occasionnel,2
3,3,4,4,3,319,3,Non,11%,42,M,19232,Marié(e),Consulting,Senior Manager,1,22,0,0,3,4,2,Entrepreunariat,Occasionnel,11
2,3,3,4,2,321,3,Non,17%,59,M,2267,Marié(e),Ressources Humaines,Ressources Humaines,8,2,0,0,2,6,2,Transformation Digitale,Occasionnel,2
4,3,4,3,2,323,3,Non,11%,50,F,19517,Divorcé(e),Commercial,Senior Manager,3,7,0,1,3,1,4,Transformation Digitale,Occasionnel,0
3,3,4,3,1,325,3,Oui,13%,33,M,2436,Marié(e),Consulting,Consultant,5,5,1,1,2,14,3,Transformation Digitale,Occasionnel,0
4,3,4,3,3,327,4,Oui,22%,43,F,16064,Marié(e),Commercial,Senior Manager,5,17,0,1,3,16,3,Marketing,Occasionnel,1
1,3,1,1,4,328,4,Non,20%,33,F,2707,Marié(e),Consulting,Consultant,7,9,1,0,3,2,2,Infra & Cloud,Occasionnel,1
1,2,3,4,4,329,3,Oui,18%,52,M,19068,Célibataire,Commercial,Senior Manager,1,33,0,0,2,2,4,Infra & Cloud,Aucun,15
3,3,2,1,3,330,3,Non,11%,32,F,3931,Marié(e),Commercial,Représentant Commercial,2,4,0,1,5,4,2,Infra & Cloud,Occasionnel,1
4,2,3,4,1,331,3,Oui,14%,32,M,3730,Célibataire,Consulting,Consultant,0,3,1,0,2,1,3,Infra & Cloud,Occasionnel,1
3,3,3,3,3,332,3,Non,14%,39,F,2232,Divorcé(e),Consulting,Consultant,7,3,0,3,1,1,4,Transformation Digitale,Occasionnel,1
3,3,4,1,3,333,3,Non,18%,32,M,4465,Marié(e),Commercial,Cadre Commercial,0,3,0,0,2,26,4,Marketing,Aucun,2
3,3,1,1,2,334,3,Non,16%,41,M,3072,Divorcé(e),Consulting,Assistant de Direction,2,1,0,2,2,19,2,Infra & Cloud,Occasionnel,0
1,3,4,1,3,335,3,Non,17%,40,M,3319,Divorcé(e),Consulting,Assistant de Direction,1,9,0,2,3,24,2,Entrepreunariat,Occasionnel,4
3,4,4,3,3,336,3,Non,11%,45,M,19202,Marié(e),Consulting,Senior Manager,0,24,0,1,2,1,3,Autre,Occasionnel,1
2,3,3,1,3,337,3,Non,12%,31,M,13675,Divorcé(e),Consulting,Directeur Technique,9,2,0,1,3,3,4,Transformation Digitale,Frequent,2
3,2,4,3,2,338,3,Non,13%,33,F,2911,Marié(e),Consulting,Assistant de Direction,1,2,0,1,2,5,4,Infra & Cloud,Occasionnel,0
4,2,1,2,3,339,3,Non,13%,34,M,5957,Marié(e),Consulting,Tech Lead,6,11,0,1,3,2,4,Infra & Cloud,Occasionnel,5
3,2,1,1,2,340,3,Non,14%,37,F,3920,Marié(e),Consulting,Assistant de Direction,2,3,0,1,2,1,2,Transformation Digitale,Occasionnel,0
1,4,3,4,3,341,3,Non,17%,45,M,6434,Marié(e),Consulting,Tech Lead,4,3,0,1,1,7,4,Infra & Cloud,Frequent,0
1,3,3,2,3,342,3,Non,11%,37,M,10048,Divorcé(e),Consulting,Tech Lead,6,1,1,2,5,10,3,Transformation Digitale,Frequent,0
3,3,3,4,3,343,4,Non,25%,39,F,10938,Célibataire,Consulting,Manager,0,19,0,0,1,2,4,Entrepreunariat,Frequent,11
3,3,4,1,3,346,3,Non,19%,29,M,2340,Célibataire,Consulting,Assistant de Direction,1,6,0,0,1,15,3,Infra & Cloud,Occasionnel,1
4,4,1,3,3,347,3,Oui,13%,42,F,6545,Célibataire,Consulting,Assistant de Direction,3,3,0,0,1,17,2,Infra & Cloud,Occasionnel,0
4,3,4,4,3,349,3,Non,14%,29,M,6931,Divorcé(e),Commercial,Cadre Commercial,2,3,0,1,2,20,2,Marketing,Occasionnel,0
1,3,3,4,3,350,3,Non,12%,25,F,4898,Marié(e),Consulting,Tech Lead,0,4,0,2,3,1,3,Infra & Cloud,Occasionnel,1
4,2,1,3,3,351,3,Oui,11%,42,F,2593,Divorcé(e),Consulting,Consultant,0,9,0,1,4,2,3,Transformation Digitale,Occasionnel,7
1,3,3,4,3,352,3,Non,19%,40,M,19436,Divorcé(e),Consulting,Directeur Technique,0,21,0,1,5,2,2,Transformation Digitale,Occasionnel,3
3,3,4,2,2,353,3,Non,11%,51,M,2723,Marié(e),Consulting,Assistant de Direction,1,1,0,0,0,1,3,Infra & Cloud,Occasionnel,0
3,2,2,2,4,355,3,Non,11%,31,M,3479,Célibataire,Consulting,Consultant,0,5,1,0,2,29,2,Transformation Digitale,Frequent,1
2,4,2,3,1,359,4,Non,20%,32,M,2794,Marié(e),Consulting,Consultant,1,5,0,0,3,7,3,Infra & Cloud,Frequent,0
4,2,4,4,3,361,3,Non,18%,38,M,5249,Marié(e),Commercial,Cadre Commercial,3,8,0,1,0,2,2,Infra & Cloud,Aucun,7
4,2,1,4,3,362,3,Non,13%,32,M,2176,Célibataire,Consulting,Consultant,4,6,0,0,5,2,1,Entrepreunariat,Occasionnel,0
3,1,2,2,2,363,3,Oui,12%,46,F,16872,Marié(e),Commercial,Senior Manager,3,7,0,1,2,2,3,Entrepreunariat,Occasionnel,7
1,3,3,3,1,364,3,Non,11%,28,M,3485,Célibataire,Consulting,Consultant,2,0,1,0,5,2,4,Infra & Cloud,Occasionnel,0
1,2,2,2,3,366,3,Non,19%,29,M,6644,Marié(e),Commercial,Cadre Commercial,2,0,0,2,2,2,3,Transformation Digitale,Occasionnel,0
2,2,4,2,3,367,4,Non,21%,31,M,5582,Marié(e),Consulting,Manager,0,9,0,1,2,23,3,Transformation Digitale,Occasionnel,7
2,4,1,4,3,369,3,Non,12%,25,M,4000,Divorcé(e),Consulting,Manager,1,6,0,2,2,5,2,Infra & Cloud,Aucun,1
3,3,4,2,3,372,3,Oui,14%,45,M,13496,Marié(e),Consulting,Manager,0,20,0,0,2,20,2,Transformation Digitale,Occasionnel,4
4,3,4,3,3,373,3,Non,11%,36,M,3210,Marié(e),Consulting,Consultant,0,15,0,1,4,6,3,Infra & Cloud,Occasionnel,10
4,3,1,3,3,374,3,Oui,14%,55,M,19045,Célibataire,Consulting,Senior Manager,0,36,0,0,2,1,3,Transformation Digitale,Occasionnel,4
1,3,2,4,2,376,3,Oui,12%,47,M,11849,Marié(e),Consulting,Senior Manager,1,10,1,1,2,29,4,Infra & Cloud,Aucun,9
4,3,4,4,2,377,4,Non,23%,28,M,2070,Marié(e),Consulting,Assistant de Direction,1,5,0,1,3,9,3,Transformation Digitale,Occasionnel,0
3,3,4,2,4,378,3,Non,14%,37,M,6502,Marié(e),Commercial,Cadre Commercial,4,5,0,1,5,6,4,Transformation Digitale,Occasionnel,0
4,2,3,1,4,379,3,Non,17%,21,M,3230,Célibataire,Consulting,Assistant de Direction,1,3,0,0,4,3,2,Transformation Digitale,Occasionnel,1
1,3,4,1,3,380,3,Oui,18%,37,F,13603,Divorcé(e),Consulting,Directeur Technique,2,5,0,2,2,1,4,Transformation Digitale,Aucun,0
2,4,2,2,2,381,3,Non,18%,35,F,11996,Divorcé(e),Consulting,Senior Manager,7,7,0,1,6,22,3,Infra & Cloud,Occasionnel,6
1,4,1,3,3,382,4,Oui,24%,38,F,5605,Divorcé(e),Commercial,Cadre Commercial,1,8,0,1,3,7,2,Transformation Digitale,Occasionnel,7
3,3,2,1,1,384,4,Non,20%,26,F,6397,Divorcé(e),Consulting,Tech Lead,1,6,0,1,6,1,3,Infra & Cloud,Frequent,1
1,3,2,1,2,385,3,Non,14%,50,M,19144,Divorcé(e),Consulting,Directeur Technique,3,10,0,2,4,4,1,Infra & Cloud,Occasionnel,1
3,3,3,4,2,386,3,Oui,16%,53,M,17584,Marié(e),Consulting,Directeur Technique,3,5,0,3,5,3,4,Transformation Digitale,Occasionnel,1
2,3,3,3,3,387,4,Non,25%,42,M,4907,Marié(e),Commercial,Cadre Commercial,1,20,0,0,3,1,1,Infra & Cloud,Occasionnel,11
2,3,4,1,2,388,3,Non,18%,29,M,4554,Célibataire,Commercial,Cadre Commercial,1,10,0,0,3,2,2,Infra & Cloud,Frequent,0
2,3,4,4,3,389,3,Oui,19%,55,M,5415,Marié(e),Consulting,Consultant,3,10,0,1,4,20,2,Entrepreunariat,Occasionnel,0
1,3,1,3,3,390,3,Oui,13%,26,M,4741,Marié(e),Consulting,Manager,1,5,0,1,3,11,2,Transformation Digitale,Frequent,3
4,3,4,2,3,391,3,Non,12%,37,F,2115,Célibataire,Consulting,Assistant de Direction,1,17,0,0,3,1,3,Infra & Cloud,Occasionnel,5
4,3,3,4,1,392,4,Oui,22%,44,M,3161,Divorcé(e),Consulting,Consultant,3,1,1,1,0,24,3,Infra & Cloud,Frequent,0
4,3,4,2,3,393,3,Non,14%,38,M,5745,Divorcé(e),Consulting,Manager,9,2,0,1,2,23,4,Infra & Cloud,Occasionnel,1
1,3,2,4,3,394,3,Oui,13%,26,M,2373,Divorcé(e),Consulting,Consultant,2,3,1,1,2,16,4,Transformation Digitale,Occasionnel,0
4,3,4,4,3,395,4,Non,21%,28,F,3310,Célibataire,Consulting,Assistant de Direction,1,5,0,0,3,8,2,Infra & Cloud,Occasionnel,0
3,3,1,4,3,396,3,Oui,11%,49,F,18665,Célibataire,Consulting,Directeur Technique,9,3,0,0,4,10,4,Infra & Cloud,Frequent,1
3,3,2,4,3,397,3,Non,12%,36,M,4485,Célibataire,Consulting,Assistant de Direction,4,8,0,0,2,3,3,Entrepreunariat,Occasionnel,7
4,3,2,3,2,399,3,Non,11%,31,F,2789,Divorcé(e),Commercial,Représentant Commercial,1,2,0,1,5,5,3,Marketing,Frequent,2
4,2,4,2,3,401,3,Oui,12%,26,M,5828,Célibataire,Commercial,Cadre Commercial,1,8,1,0,0,4,4,Marketing,Occasionnel,7
2,3,4,3,2,403,3,Oui,12%,37,M,2326,Marié(e),Consulting,Assistant de Direction,1,4,0,3,3,9,3,Transformation Digitale,Frequent,1
3,3,2,4,4,404,3,Non,14%,42,F,13525,Marié(e),Commercial,Cadre Commercial,5,20,0,1,2,26,3,Marketing,Frequent,4
3,3,3,3,3,405,3,Non,13%,18,M,1420,Célibataire,Consulting,Consultant,1,0,1,0,2,3,3,Infra & Cloud,Occasionnel,0
3,3,2,3,2,406,3,Non,15%,35,M,8020,Marié(e),Commercial,Cadre Commercial,0,11,0,2,3,16,3,Marketing,Occasionnel,6
3,4,4,4,3,407,3,Non,18%,36,M,3688,Marié(e),Consulting,Consultant,4,1,0,2,2,18,4,Infra & Cloud,Frequent,0
4,1,2,4,3,408,3,Non,18%,51,M,5482,Divorcé(e),Consulting,Tech Lead,5,4,0,1,3,2,3,Transformation Digitale,Occasionnel,1
4,3,2,2,3,410,3,Non,19%,41,M,16015,Célibataire,Commercial,Senior Manager,1,22,0,0,2,2,4,Infra & Cloud,Occasionnel,0
4,2,3,1,3,411,3,Non,12%,18,F,1200,Célibataire,Commercial,Représentant Commercial,1,0,0,0,2,10,3,Transformation Digitale,Occasionnel,0
2,4,1,3,3,412,3,Non,19%,28,M,5661,Célibataire,Consulting,Manager,0,8,0,0,2,16,2,Transformation Digitale,Occasionnel,0
2,4,4,2,2,416,3,Non,11%,31,M,6929,Marié(e),Commercial,Cadre Commercial,4,8,0,1,3,7,3,Entrepreunariat,Occasionnel,7
3,4,4,1,2,417,3,Non,17%,39,M,9613,Divorcé(e),Consulting,Manager,0,18,0,3,5,1,3,Transformation Digitale,Occasionnel,3
2,3,2,3,3,419,3,Non,15%,36,F,5674,Marié(e),Consulting,Consultant,7,9,0,1,3,24,4,Infra & Cloud,Aucun,0
4,2,3,3,2,420,3,Non,14%,32,M,5484,Marié(e),Commercial,Cadre Commercial,1,13,0,1,3,7,3,Infra & Cloud,Occasionnel,4
1,2,2,3,3,421,3,Non,17%,38,F,12061,Marié(e),Consulting,Directeur Technique,3,10,0,1,2,25,2,Infra & Cloud,Occasionnel,0
4,1,3,4,3,422,3,Oui,13%,58,M,5660,Divorcé(e),Consulting,Manager,2,5,0,1,2,1,4,Infra & Cloud,Aucun,1
3,3,4,3,3,423,3,Oui,12%,31,M,4821,Marié(e),Consulting,Assistant de Direction,0,5,0,1,4,5,4,Entrepreunariat,Occasionnel,0
1,2,1,4,3,424,3,Non,12%,31,M,6410,Marié(e),Ressources Humaines,Ressources Humaines,3,2,0,0,1,2,3,Ressources Humaines,Occasionnel,1
1,3,1,1,3,425,3,Non,18%,45,M,5210,Divorcé(e),Consulting,Consultant,1,24,0,1,2,7,3,Infra & Cloud,Frequent,9
3,3,4,2,1,426,3,Oui,18%,31,M,2695,Divorcé(e),Consulting,Assistant de Direction,0,2,0,1,2,2,4,Infra & Cloud,Occasionnel,2
4,3,2,2,3,428,3,Non,11%,33,F,11878,Marié(e),Consulting,Senior Manager,6,10,0,2,2,5,4,Infra & Cloud,Frequent,8
3,3,1,4,3,429,3,Oui,14%,39,M,17068,Marié(e),Consulting,Senior Manager,1,21,0,0,3,10,1,Transformation Digitale,Occasionnel,11
3,3,4,1,3,430,3,Non,19%,43,F,2455,Célibataire,Consulting,Consultant,0,8,0,0,5,10,4,Infra & Cloud,Frequent,1
3,2,3,4,3,431,3,Oui,12%,49,F,13964,Célibataire,Consulting,Manager,7,7,0,0,2,1,2,Entrepreunariat,Occasionnel,0
3,2,2,1,2,433,3,Non,15%,52,M,4941,Marié(e),Consulting,Assistant de Direction,2,8,1,0,3,8,4,Transformation Digitale,Occasionnel,7
3,3,2,2,2,434,3,Oui,12%,27,F,2478,Célibataire,Consulting,Assistant de Direction,1,4,0,0,2,5,3,Infra & Cloud,Occasionnel,1
3,2,2,4,3,436,3,Oui,11%,32,F,5228,Marié(e),Commercial,Cadre Commercial,1,13,0,0,2,8,2,Entrepreunariat,Occasionnel,11
4,3,3,1,3,437,3,Oui,11%,27,M,4478,Célibataire,Commercial,Cadre Commercial,1,5,0,0,3,2,3,Infra & Cloud,Occasionnel,0
4,3,4,4,3,438,3,Non,12%,31,M,7547,Divorcé(e),Commercial,Cadre Commercial,4,7,0,3,3,7,3,Marketing,Occasionnel,1
1,4,4,3,2,439,3,Non,16%,32,F,5055,Célibataire,Consulting,Assistant de Direction,7,7,0,0,0,2,4,Transformation Digitale,Occasionnel,0
1,1,4,4,2,440,3,Oui,13%,28,M,3464,Marié(e),Consulting,Assistant de Direction,5,3,1,0,4,2,4,Transformation Digitale,Occasionnel,2
4,3,4,4,3,441,3,Non,13%,30,F,5775,Marié(e),Consulting,Assistant de Direction,1,10,0,2,2,28,2,Transformation Digitale,Occasionnel,1
3,2,3,1,3,442,4,Non,24%,31,F,8943,Marié(e),Consulting,Tech Lead,1,10,0,1,2,7,2,Infra & Cloud,Frequent,8
3,2,4,1,3,444,3,Non,15%,39,M,19272,Marié(e),Consulting,Senior Manager,1,21,0,1,2,7,2,Transformation Digitale,Frequent,13
4,3,3,1,2,445,3,Oui,18%,39,F,5238,Marié(e),Commercial,Cadre Commercial,4,1,1,0,3,3,2,Transformation Digitale,Occasionnel,0
2,2,4,3,2,446,3,Non,14%,33,M,4682,Célibataire,Commercial,Cadre Commercial,3,7,0,0,6,10,3,Marketing,Frequent,0
4,3,3,2,3,447,3,Non,11%,47,M,18300,Marié(e),Consulting,Directeur Technique,4,3,0,1,2,5,5,Infra & Cloud,Occasionnel,1
3,2,3,2,4,448,3,Non,11%,43,F,5257,Divorcé(e),Consulting,Consultant,1,9,0,1,3,10,4,Infra & Cloud,Frequent,0
3,3,2,4,3,449,3,Oui,13%,27,M,6349,Marié(e),Commercial,Cadre Commercial,0,5,0,1,0,1,1,Marketing,Aucun,1
4,3,3,4,2,450,3,Non,12%,54,F,4869,Célibataire,Consulting,Assistant de Direction,3,4,0,0,4,20,4,Infra & Cloud,Frequent,0
3,3,1,1,2,451,3,Non,16%,43,F,9985,Marié(e),Consulting,Manager,8,1,0,1,1,7,3,Infra & Cloud,Occasionnel,0
4,3,4,1,3,452,3,Non,14%,45,M,3697,Marié(e),Consulting,Assistant de Direction,9,10,0,2,3,8,4,Autre,Occasionnel,9
2,1,4,3,2,453,4,Oui,22%,40,M,7457,Marié(e),Commercial,Cadre Commercial,2,4,0,3,2,1,2,Transformation Digitale,Occasionnel,0
2,1,1,4,2,454,3,Oui,11%,29,M,2119,Marié(e),Consulting,Consultant,1,7,1,0,4,8,4,Autre,Occasionnel,0
2,2,4,3,3,455,3,Non,17%,29,M,3983,Célibataire,Consulting,Consultant,0,3,0,0,2,9,5,Autre,Occasionnel,2
4,2,3,3,3,456,3,Non,13%,30,F,6118,Divorcé(e),Commercial,Cadre Commercial,1,10,0,3,2,5,3,Marketing,Occasionnel,1
2,3,2,1,3,458,3,Non,18%,27,F,6214,Marié(e),Commercial,Cadre Commercial,1,8,0,1,3,8,4,Marketing,Occasionnel,0
4,3,4,3,2,460,3,Non,16%,37,M,6347,Divorcé(e),Consulting,Tech Lead,7,6,0,2,2,5,2,Transformation Digitale,Occasionnel,0
3,2,4,2,3,461,3,Oui,14%,38,M,11510,Divorcé(e),Consulting,Directeur Technique,0,11,0,1,3,15,2,Infra & Cloud,Occasionnel,2
3,3,4,3,2,462,3,Oui,14%,31,F,7143,Célibataire,Consulting,Tech Lead,1,11,0,0,2,7,4,Transformation Digitale,Occasionnel,4
4,2,2,1,3,463,3,Oui,14%,29,F,8268,Divorcé(e),Commercial,Cadre Commercial,1,7,0,2,2,10,1,Marketing,Occasionnel,1
3,3,2,4,3,464,3,Non,13%,35,M,8095,Célibataire,Consulting,Tech Lead,0,16,0,0,5,5,4,Entrepreunariat,Occasionnel,0
3,3,4,3,2,465,3,Non,12%,23,M,2904,Divorcé(e),Consulting,Assistant de Direction,1,4,0,2,2,26,1,Infra & Cloud,Occasionnel,0
4,2,2,4,3,466,3,Oui,15%,41,M,6032,Célibataire,Consulting,Tech Lead,6,5,0,0,3,6,3,Transformation Digitale,Occasionnel,1
2,3,3,1,3,467,3,Non,19%,47,M,2976,Célibataire,Commercial,Représentant Commercial,3,0,0,0,3,4,1,Transformation Digitale,Frequent,0
1,3,4,2,3,468,3,Non,14%,42,F,15992,Célibataire,Consulting,Directeur Technique,2,1,0,0,2,23,5,Infra & Cloud,Occasionnel,0
4,3,3,1,2,469,3,Non,14%,29,M,4649,Marié(e),Commercial,Cadre Commercial,1,4,0,1,3,2,3,Infra & Cloud,Aucun,0
3,3,3,3,3,470,3,Oui,11%,42,M,2696,Divorcé(e),Ressources Humaines,Ressources Humaines,0,3,0,1,5,2,1,Entrepreunariat,Occasionnel,1
3,3,2,3,3,471,3,Non,13%,32,F,2370,Marié(e),Consulting,Consultant,1,8,0,1,4,2,3,Transformation Digitale,Occasionnel,0
1,3,3,2,1,473,4,Non,21%,48,F,12504,Marié(e),Commercial,Senior Manager,3,0,0,1,3,29,1,Transformation Digitale,Occasionnel,0
